"disease","Counts","lower_bound","upper_bound"
"COVID-19",28,3.928,3.956
"Typhoid",1,4.021,4.721
"COVID-19",25,4.049,4.072
"COVID-19",19,4.095,4.118
"COVID-19",29,4.536,4.559
"COVID-19",24,4.605,4.628
"COVID-19",19,4.675,4.698
"Cholera",65,4.716,4.856
"COVID-19",24,4.721,4.744
"Typhoid",1,4.721,5.304
"COVID-19",43,4.744,4.767
"COVID-19",29,4.767,4.791
"COVID-19",10,4.791,4.814
"Cholera",98,4.856,4.973
"COVID-19",34,4.86,4.883
"COVID-19",17,4.907,4.93
"COVID-19",48,4.93,4.953
"Cholera",63,4.973,5.09
"COVID-19",37,4.976,4.999
"COVID-19",17,5.022,5.046
"COVID-19",17,5.046,5.069
"Cholera",38,5.09,5.206
"COVID-19",33,5.138,5.161
"COVID-19",24,5.185,5.208
"Cholera",29,5.206,5.323
"COVID-19",18,5.231,5.254
"COVID-19",14,5.277,5.301
"COVID-19",23,5.301,5.324
"Typhoid",2,5.304,5.887
"Cholera",61,5.323,5.44
"COVID-19",23,5.347,5.37
"COVID-19",20,5.393,5.416
"Cholera",110,5.44,5.557
"COVID-19",19,5.463,5.486
"COVID-19",17,5.486,5.509
"Cholera",97,5.557,5.673
"COVID-19",23,5.579,5.602
"COVID-19",25,5.602,5.625
"Cholera",65,5.673,5.79
"COVID-19",23,5.695,5.718
"COVID-19",22,5.741,5.764
"Cholera",71,5.79,5.907
"COVID-19",20,5.88,5.903
"Typhoid",4,5.887,6.47
"Cholera",31,5.907,6.024
"COVID-19",20,5.996,6.019
"Cholera",34,6.024,6.141
"Cholera",27,6.141,6.257
"COVID-19",23,6.251,6.274
"Cholera",20,6.257,6.374
"COVID-19",17,6.32,6.344
"Cholera",24,6.374,6.491
"COVID-19",19,6.459,6.483
"Typhoid",6,6.47,7.054
"COVID-19",18,6.483,6.506
"Cholera",8,6.491,6.608
"Cholera",9,6.608,6.725
"COVID-19",16,6.645,6.668
"COVID-19",20,6.714,6.738
"Cholera",14,6.725,6.841
"COVID-19",25,6.761,6.784
"Cholera",14,6.841,6.958
"Cholera",14,6.958,7.075
"COVID-19",19,7.016,7.039
"Typhoid",2,7.054,7.637
"Cholera",2,7.075,7.192
"COVID-19",36,7.271,7.294
"Cholera",3,7.309,7.425
"Cholera",4,7.425,7.542
"Cholera",16,7.542,7.659
"COVID-19",23,7.595,7.618
"Typhoid",16,7.637,8.22
"Cholera",3,7.659,7.776
"Cholera",1,7.776,7.892
"Cholera",1,8.126,8.243
"Typhoid",11,8.22,8.803
"Cholera",3,8.243,8.36
"Cholera",10,8.36,8.476
"Cholera",3,8.476,8.593
"COVID-19",40,8.545,8.573
"Cholera",1,8.71,8.827
"Typhoid",13,8.803,9.387
"Cholera",1,8.827,8.944
"Cholera",6,8.944,9.06
"Cholera",3,9.06,9.177
"Cholera",2,9.177,9.294
"Cholera",2,9.294,9.411
"Typhoid",11,9.387,9.97
"Cholera",2,9.527,9.644
"Cholera",1,9.644,9.761
"Cholera",1,9.761,9.878
"Cholera",1,9.878,9.995
"Typhoid",12,9.97,10.55
"Rubella",1,10.06,10.17
"Cholera",1,10.11,10.23
"Cholera",1,10.23,10.34
"Cholera",3,10.34,10.46
"Rubella",1,10.44,10.53
"Cholera",1,10.46,10.58
"Typhoid",17,10.55,11.14
"Rubella",1,10.62,10.71
"Cholera",2,10.7,10.81
"Rubella",1,10.8,10.89
"Rubella",1,10.98,11.07
"Cholera",4,11.05,11.16
"Typhoid",15,11.14,11.72
"Cholera",1,11.16,11.28
"Rubella",1,11.16,11.25
"Cholera",1,11.28,11.4
"Rubella",1,11.43,11.52
"Rubella",1,11.61,11.7
"Cholera",2,11.63,11.75
"Typhoid",21,11.72,12.3
"Rubella",1,11.79,11.88
"Rubella",2,11.97,12.06
"Rubella",1,12.06,12.15
"Rubella",2,12.15,12.24
"Typhoid",22,12.3,12.89
"Rubella",1,12.33,12.42
"Rubella",7,12.42,12.51
"Rubella",1,12.51,12.6
"Cholera",1,12.56,12.68
"Rubella",1,12.6,12.69
"Cholera",2,12.68,12.8
"Rubella",1,12.69,12.78
"YF",4,12.69,13.94
"Rubella",4,12.78,12.87
"Cholera",3,12.8,12.91
"Rubella",2,12.87,12.96
"Typhoid",27,12.89,13.47
"Cholera",1,12.91,13.03
"Rubella",1,12.96,13.05
"Rubella",7,13.05,13.13
"Rubella",2,13.13,13.22
"Rubella",4,13.22,13.31
"Rubella",6,13.31,13.4
"Cholera",1,13.38,13.5
"Rubella",6,13.4,13.49
"Typhoid",14,13.47,14.05
"Rubella",9,13.49,13.58
"Rubella",5,13.58,13.67
"Rubella",6,13.67,13.76
"Rubella",12,13.76,13.85
"Cholera",1,13.85,13.97
"Rubella",5,13.85,13.94
"Rubella",6,13.94,14.03
"YF",2,13.94,14.98
"Cholera",3,13.97,14.08
"Rubella",11,14.03,14.12
"Typhoid",32,14.05,14.64
"Rubella",9,14.12,14.21
"Rubella",13,14.21,14.3
"Rubella",9,14.3,14.39
