"disease","Counts","lower_bound","upper_bound"
"COVID-19",28,0.5944,0.5964
"COVID-19",18,0.6066,0.6083
"COVID-19",7,0.6083,0.6099
"COVID-19",19,0.6116,0.6133
"Typhoid",1,0.6153,0.624
"COVID-19",29,0.6573,0.659
"COVID-19",24,0.6624,0.6641
"COVID-19",19,0.6708,0.6725
"COVID-19",24,0.6742,0.6759
"Cholera",5,0.6749,0.6796
"COVID-19",72,0.6776,0.6793
"Cholera",29,0.6796,0.6834
"COVID-19",10,0.681,0.6827
"Cholera",42,0.6834,0.6873
"COVID-19",18,0.686,0.6877
"Cholera",25,0.6873,0.6912
"COVID-19",16,0.6877,0.6894
"COVID-19",17,0.6911,0.6928
"Cholera",41,0.6912,0.695
"COVID-19",48,0.6928,0.6945
"Cholera",38,0.695,0.6989
"COVID-19",37,0.6979,0.6996
"Cholera",31,0.6989,0.7028
"COVID-19",17,0.6996,0.7013
"Cholera",15,0.7028,0.7066
"COVID-19",17,0.7029,0.7046
"Cholera",12,0.7066,0.7105
"Cholera",14,0.7105,0.7144
"COVID-19",33,0.7114,0.7131
"Typhoid",1,0.712,0.7193
"COVID-19",24,0.7131,0.7148
"Cholera",16,0.7144,0.7182
"Cholera",15,0.7182,0.7221
"COVID-19",18,0.7199,0.7215
"COVID-19",14,0.7215,0.7232
"Cholera",9,0.7221,0.7259
"COVID-19",23,0.7249,0.7266
"Cholera",12,0.7259,0.7298
"COVID-19",23,0.7283,0.73
"Cholera",28,0.7298,0.7337
"COVID-19",20,0.7317,0.7334
"Cholera",42,0.7337,0.7375
"Cholera",51,0.7375,0.7414
"COVID-19",19,0.7385,0.7401
"COVID-19",17,0.7401,0.7418
"Typhoid",1,0.7413,0.7486
"Cholera",47,0.7414,0.7453
"Cholera",50,0.7453,0.7491
"COVID-19",23,0.7469,0.7486
"COVID-19",25,0.7486,0.7503
"Cholera",33,0.7491,0.753
"Cholera",26,0.753,0.7569
"COVID-19",23,0.7554,0.7571
"Cholera",27,0.7569,0.7607
"COVID-19",22,0.7587,0.7604
"Cholera",29,0.7607,0.7646
"Typhoid",1,0.7633,0.7706
"Cholera",39,0.7646,0.7685
"Cholera",29,0.7685,0.7723
"COVID-19",20,0.7689,0.7706
"Typhoid",1,0.7706,0.7779
"Cholera",14,0.7723,0.7762
"Cholera",10,0.7762,0.7801
"COVID-19",20,0.7773,0.779
"Cholera",11,0.7801,0.7839
"Cholera",20,0.7839,0.7878
"Cholera",9,0.7878,0.7916
"Cholera",14,0.7916,0.7955
"Typhoid",2,0.7926,0.7999
"Cholera",13,0.7955,0.7994
"COVID-19",23,0.7959,0.7976
"Cholera",12,0.7994,0.8032
"COVID-19",17,0.801,0.8027
"Cholera",10,0.8032,0.8071
"Cholera",11,0.8071,0.811
"Typhoid",2,0.8072,0.8145
"COVID-19",19,0.8095,0.8112
"Cholera",8,0.811,0.8148
"COVID-19",18,0.8112,0.8129
"Typhoid",1,0.8145,0.8219
"Cholera",4,0.8148,0.8187
"Cholera",3,0.8187,0.8226
"Cholera",3,0.8226,0.8264
"COVID-19",16,0.823,0.8247
"COVID-19",20,0.8264,0.8281
"Cholera",7,0.8264,0.8303
"Typhoid",2,0.8292,0.8365
"COVID-19",25,0.8298,0.8315
"Cholera",9,0.8303,0.8342
"Cholera",7,0.8342,0.838
"Typhoid",2,0.8365,0.8438
"Cholera",7,0.838,0.8419
