"disease","subregion","Counts","lower_bound","upper_bound"
"Typhoid","Eastern and Southern Europe",2,-3.182,-3.152
"Typhoid","Eastern and Southern Europe",2,-3.079,-3.054
"Typhoid","Eastern and Southern Europe",1,-2.735,-2.71
"Typhoid","Eastern and Southern Europe",3,-2.686,-2.661
"Typhoid","Eastern and Southern Europe",1,-2.588,-2.563
"Typhoid","Eastern and Southern Europe",3,-2.538,-2.514
"Typhoid","Eastern and Southern Europe",2,-2.465,-2.44
"Typhoid","Eastern and Southern Europe",1,-2.342,-2.318
"Typhoid","Eastern and Southern Europe",2,-2.219,-2.195
"Typhoid","Eastern and Southern Europe",1,-2.195,-2.17
"Typhoid","Eastern and Southern Europe",2,-2.17,-2.146
"Typhoid","Eastern and Southern Europe",2,-2.146,-2.121
"Typhoid","Eastern and Southern Europe",1,-2.097,-2.072
"Typhoid","Eastern and Southern Europe",1,-2.047,-2.023
"Typhoid","Eastern and Southern Europe",1,-2.023,-1.998
"Typhoid","Eastern and Southern Europe",5,-1.998,-1.974
"Typhoid","Eastern and Southern Europe",2,-1.925,-1.9
"Typhoid","Eastern and Southern Europe",1,-1.9,-1.876
"Typhoid","Eastern and Southern Europe",3,-1.876,-1.851
"Typhoid","Eastern and Southern Europe",1,-1.827,-1.802
"Typhoid","Eastern and Southern Europe",1,-1.802,-1.777
"Typhoid","Eastern and Southern Europe",4,-1.753,-1.728
"Typhoid","Eastern and Southern Europe",2,-1.728,-1.704
"Typhoid","Eastern and Southern Europe",2,-1.704,-1.679
"Typhoid","Eastern and Southern Europe",3,-1.679,-1.655
"Typhoid","Eastern and Southern Europe",1,-1.63,-1.606
"Typhoid","Eastern and Southern Europe",4,-1.581,-1.557
"Typhoid","Eastern and Southern Europe",8,-1.557,-1.532
"Typhoid","Eastern and Southern Europe",3,-1.532,-1.507
"Typhoid","Eastern and Southern Europe",3,-1.507,-1.483
"Typhoid","Eastern and Southern Europe",5,-1.434,-1.409
"Typhoid","Eastern and Southern Europe",1,-1.409,-1.385
"Typhoid","Eastern and Southern Europe",1,-1.385,-1.36
"Typhoid","Eastern and Southern Europe",5,-1.36,-1.336
"Typhoid","Eastern and Southern Europe",1,-1.336,-1.311
"Typhoid","Eastern and Southern Europe",2,-1.311,-1.286
"Typhoid","Eastern and Southern Europe",4,-1.286,-1.262
"Typhoid","Eastern and Southern Europe",9,-1.262,-1.237
"Typhoid","Eastern and Southern Europe",2,-1.237,-1.213
"Typhoid","Eastern and Southern Europe",10,-1.213,-1.188
"Typhoid","Eastern and Southern Europe",7,-1.188,-1.164
"Typhoid","Eastern and Southern Europe",5,-1.164,-1.139
"Typhoid","Eastern and Southern Europe",4,-1.139,-1.115
"Typhoid","Eastern and Southern Europe",8,-1.115,-1.09
"Typhoid","Eastern and Southern Europe",4,-1.09,-1.066
"Typhoid","Eastern and Southern Europe",2,-1.066,-1.041
"Typhoid","Eastern and Southern Europe",1,-1.041,-1.016
"Typhoid","Eastern and Southern Europe",6,-1.016,-0.9919
"Typhoid","Eastern and Southern Europe",4,-0.9673,-0.9428
"Typhoid","Eastern and Southern Europe",3,-0.9428,-0.9182
"Typhoid","Eastern and Southern Europe",4,-0.9182,-0.8937
"Typhoid","Eastern and Southern Europe",10,-0.8937,-0.8691
"Typhoid","Eastern and Southern Europe",4,-0.8691,-0.8446
"Typhoid","Eastern and Southern Europe",3,-0.8446,-0.82
"Typhoid","Eastern and Southern Europe",6,-0.82,-0.7955
"Typhoid","Eastern and Southern Europe",10,-0.7955,-0.7709
"Rubella","Southern Africa",1,-0.7855,-0.7711
"Typhoid","Eastern and Southern Europe",21,-0.7709,-0.7464
"Typhoid","Eastern and Southern Europe",9,-0.7464,-0.7218
"Rubella","Southern Africa",1,-0.7232,-0.7112
"Typhoid","Eastern and Southern Europe",10,-0.7218,-0.6973
"Typhoid","Eastern and Southern Europe",18,-0.6973,-0.6727
"Typhoid","Eastern and Southern Europe",18,-0.6727,-0.6482
"Rubella","Southern Africa",1,-0.6513,-0.6393
"Typhoid","Eastern and Southern Europe",8,-0.6482,-0.6236
"Typhoid","Eastern and Southern Europe",16,-0.6236,-0.5991
"Typhoid","Southern Africa",1,-0.6195,-0.6013
"Typhoid","Latin America and the Caribbean",1,-0.5996,-0.5855
"Typhoid","Eastern and Southern Europe",18,-0.5991,-0.5745
"Typhoid","Southern Africa",1,-0.5861,-0.5709
"Typhoid","Eastern and Southern Europe",22,-0.5745,-0.55
"Typhoid","Latin America and the Caribbean",1,-0.5621,-0.5504
"Typhoid","Eastern and Southern Europe",9,-0.55,-0.5254
"Typhoid","Eastern and Southern Europe",13,-0.5254,-0.5009
"Rubella","Southern Africa",1,-0.5074,-0.4955
"Typhoid","Eastern and Southern Europe",10,-0.5009,-0.4763
"Typhoid","Latin America and the Caribbean",1,-0.4918,-0.4801
"Typhoid","Eastern and Southern Europe",9,-0.4763,-0.4518
"Typhoid","Eastern and Southern Europe",19,-0.4518,-0.4273
"Typhoid","Eastern and Southern Europe",16,-0.4273,-0.4027
"Typhoid","Eastern and Southern Europe",18,-0.4027,-0.3782
"Rubella","Southern Africa",1,-0.3996,-0.3876
"Rubella","Southern Africa",1,-0.3876,-0.3756
"Typhoid","Eastern and Southern Europe",18,-0.3782,-0.3536
"Typhoid","Eastern and Southern Europe",13,-0.3536,-0.3291
"Rubella","Southern Africa",1,-0.3396,-0.3277
"Typhoid","Eastern and Southern Europe",16,-0.3291,-0.3045
"Typhoid","Central and Southern Asia",1,-0.3052,-0.2951
"Typhoid","Eastern and Southern Europe",23,-0.3045,-0.28
"Typhoid","Eastern and Southern Europe",15,-0.28,-0.2554
"Typhoid","Central and Southern Asia",1,-0.2615,-0.2531
"Typhoid","Eastern and South-Eastern Asia",1,-0.2598,-0.2478
"Typhoid","Latin America and the Caribbean",1,-0.2576,-0.2458
"Typhoid","Eastern and Southern Europe",20,-0.2554,-0.2309
"Rubella","Southern Africa",1,-0.2438,-0.2318
"Typhoid","Eastern and Southern Europe",12,-0.2309,-0.2063
"Typhoid","Latin America and the Caribbean",4,-0.2224,-0.2107
"Rubella","Southern Africa",1,-0.2198,-0.2078
"Typhoid","Latin America and the Caribbean",1,-0.2107,-0.199
"Rubella","Southern Africa",1,-0.2078,-0.1958
"Typhoid","Eastern and Southern Europe",15,-0.2063,-0.1818
"Typhoid","Latin America and the Caribbean",2,-0.199,-0.1873
"Rubella","Eastern and Southern Europe",1,-0.188,-0.1773
"Typhoid","Latin America and the Caribbean",1,-0.1873,-0.1756
"Typhoid","Central and Southern Asia",1,-0.186,-0.1776
"Rubella","Southern Africa",2,-0.1838,-0.1719
"Typhoid","Eastern and Southern Europe",13,-0.1818,-0.1572
"Typhoid","Eastern and South-Eastern Asia",1,-0.1778,-0.1678
"Typhoid","Southern Africa",1,-0.1761,-0.1609
"Typhoid","Southern Africa",1,-0.1609,-0.1457
"Typhoid","Central and Southern Asia",1,-0.1608,-0.1524
"Rubella","Southern Africa",2,-0.1599,-0.1479
"Rubella","Eastern and Southern Europe",1,-0.1595,-0.1506
"Typhoid","Eastern and Southern Europe",16,-0.1572,-0.1327
"Rubella","Southern Africa",3,-0.1479,-0.1359
"Typhoid","Southern Africa",1,-0.1457,-0.1305
"Typhoid","Latin America and the Caribbean",1,-0.1404,-0.1287
"Typhoid","Northern Africa and Western Asia",1,-0.1345,-0.1193
"Typhoid","Eastern and Southern Europe",23,-0.1327,-0.1081
"Typhoid","Eastern and South-Eastern Asia",1,-0.1178,-0.1078
"Typhoid","Central and Southern Asia",1,-0.1104,-0.102
"Typhoid","Eastern and Southern Europe",15,-0.1081,-0.08356
"Typhoid","Northern Africa and Western Asia",2,-0.1066,-0.09389
"Typhoid","Latin America and the Caribbean",1,-0.1053,-0.09357
"Typhoid","Latin America and the Caribbean",1,-0.09357,-0.08186
"Typhoid","Central and Southern Asia",1,-0.08524,-0.07684
"Typhoid","Eastern and Southern Europe",13,-0.08356,-0.05901
"Typhoid","Latin America and the Caribbean",1,-0.08186,-0.07015
"Rubella","Southern Africa",1,-0.07597,-0.06399
"Typhoid","Latin America and the Caribbean",1,-0.07015,-0.05843
"Rubella","Southern Africa",1,-0.06399,-0.052
"Typhoid","Eastern and Southern Europe",10,-0.05901,-0.03447
"Typhoid","Latin America and the Caribbean",1,-0.05843,-0.04672
"Rubella","Southern Africa",1,-0.052,-0.04002
"Typhoid","Eastern and South-Eastern Asia",1,-0.04779,-0.03779
"Typhoid","Latin America and the Caribbean",1,-0.04672,-0.03501
"Typhoid","Central and Southern Asia",1,-0.04326,-0.03486
"COVID-19","Oceania",22,-0.04084,-0.03755
"Typhoid","Southern Africa",1,-0.0394,-0.02421
"Typhoid","Latin America and the Caribbean",3,-0.03501,-0.02329
"Typhoid","Eastern and Southern Europe",6,-0.03447,-0.009916
"Typhoid","Southern Africa",2,-0.02421,-0.009028
"COVID-19","Oceania",29,-0.02385,-0.02112
"Typhoid","Latin America and the Caribbean",3,-0.02329,-0.01158
"COVID-19","Oceania",23,-0.02112,-0.01838
"Typhoid","Eastern and South-Eastern Asia",2,-0.01779,-0.007794
"Rubella","Southern Africa",1,-0.01605,-0.004065
"Rubella","Middle Africa",1,-0.01365,-0.00151
"Typhoid","Eastern and Southern Europe",9,-0.009916,0.01463
"Typhoid","Southern Africa",1,-0.009028,0.006157
"Typhoid","Latin America and the Caribbean",4,0.0001328,0.01185
"Typhoid","Central and Southern Asia",1,0.007113,0.01551
"Rubella","Eastern and Southern Europe",1,0.009514,0.01841
"Typhoid","Latin America and the Caribbean",1,0.01185,0.02356
"Typhoid","Eastern and Southern Europe",12,0.01463,0.03918
"Typhoid","Central and Southern Asia",1,0.01551,0.0239
"Rubella","Eastern and Southern Europe",1,0.01841,0.0273
"Rota","Eastern and Southern Europe",1,0.02007,0.02665
"Typhoid","Latin America and the Caribbean",2,0.02356,0.03527
"Typhoid","Central and Southern Asia",1,0.0239,0.0323
"Typhoid","Northern Africa and Western Asia",1,0.033,0.04569
"Typhoid","Latin America and the Caribbean",4,0.03527,0.04699
"Rubella","Eastern and Southern Europe",1,0.0362,0.04509
"Typhoid","Southern Africa",1,0.03653,0.05171
"Typhoid","Eastern and Southern Europe",12,0.03918,0.06373
"Rubella","Southern Africa",1,0.04388,0.05586
"Typhoid","Central and Southern Asia",1,0.04909,0.05748
"Typhoid","Southern Africa",1,0.05171,0.0669
"COVID-19","Oceania",19,0.05284,0.05558
"Rubella","Southern Africa",3,0.05586,0.06785
"Typhoid","Latin America and the Caribbean",4,0.0587,0.07041
"Rota","Eastern and Southern Europe",1,0.05958,0.06506
"Typhoid","Eastern and Southern Europe",14,0.06373,0.08828
"Rota","Eastern and Southern Europe",1,0.06506,0.07055
"Typhoid","Southern Africa",2,0.0669,0.08208
"Typhoid","Latin America and the Caribbean",2,0.07041,0.08212
"Rubella","Eastern and Southern Europe",2,0.07178,0.08068
"Typhoid","Eastern and South-Eastern Asia",2,0.0722,0.0822
"Rota","Eastern and Southern Europe",1,0.07604,0.08153
"COVID-19","Oceania",20,0.07749,0.08023
"Rubella","Eastern and Southern Europe",3,0.08068,0.08957
"Rota","Eastern and Southern Europe",2,0.08153,0.08701
"Typhoid","Southern Africa",2,0.08208,0.09727
