"disease","Counts","lower_bound","upper_bound"
"JE",2,0.07642,0.07854
"JE",1,0.08385,0.08561
"JE",2,0.08561,0.08738
"JE",2,0.08738,0.08915
"JE",3,0.08915,0.09092
"JE",4,0.09092,0.09269
"JE",2,0.09269,0.09446
"JE",5,0.09446,0.09622
"JE",4,0.09622,0.09799
"JE",4,0.09799,0.09976
"JE",5,0.09976,0.1015
"Rubella",1,0.1004,0.1025
"JE",5,0.1015,0.1033
"JE",5,0.1033,0.1051
"JE",7,0.1051,0.1068
"JE",12,0.1068,0.1086
"Typhoid",2,0.1068,0.1216
"Rubella",1,0.1078,0.1095
"JE",4,0.1086,0.1104
"Rubella",1,0.1095,0.1113
"JE",5,0.1104,0.1121
"Rubella",1,0.1113,0.1131
"JE",11,0.1121,0.1139
"Rubella",4,0.1131,0.1148
"COVID-19",28,0.1133,0.1142
"JE",10,0.1139,0.1157
"Rubella",1,0.1148,0.1166
"JE",14,0.1157,0.1174
"Rubella",1,0.1166,0.1183
"JE",11,0.1174,0.1192
"Rubella",5,0.1183,0.1201
"JE",10,0.1192,0.121
"Rubella",3,0.1201,0.1218
"JE",10,0.121,0.1227
"Rubella",2,0.1218,0.1236
"COVID-19",26,0.1221,0.1229
"JE",11,0.1227,0.1245
"Rubella",3,0.1236,0.1253
"COVID-19",18,0.1245,0.1253
"JE",13,0.1245,0.1263
"Rubella",6,0.1253,0.1271
"JE",11,0.1263,0.1281
"Rubella",2,0.1271,0.1288
"Cholera",84,0.1275,0.1357
"JE",23,0.1281,0.1298
"Rubella",10,0.1288,0.1306
"JE",15,0.1298,0.1316
"Rubella",8,0.1306,0.1324
"JE",9,0.1316,0.1334
"Rubella",6,0.1324,0.1341
"JE",17,0.1334,0.1351
"Typhoid",2,0.1339,0.1462
"Rubella",5,0.1341,0.1359
"JE",7,0.1351,0.1369
"Cholera",102,0.1357,0.1425
"Rubella",13,0.1359,0.1376
"JE",21,0.1369,0.1387
"Rubella",2,0.1376,0.1394
"JE",11,0.1387,0.1404
"Rubella",11,0.1394,0.1411
"COVID-19",24,0.1396,0.1404
"JE",8,0.1404,0.1422
"Rubella",7,0.1411,0.1429
"JE",20,0.1422,0.144
"Cholera",82,0.1425,0.1493
"Rubella",6,0.1429,0.1446
"JE",10,0.144,0.1457
"COVID-19",29,0.1443,0.1451
"Rubella",8,0.1446,0.1464
"COVID-19",19,0.1451,0.1459
"JE",12,0.1457,0.1475
"Typhoid",1,0.1462,0.1585
"Rubella",3,0.1464,0.1481
"COVID-19",10,0.1467,0.1475
"COVID-19",17,0.1475,0.1483
"JE",11,0.1475,0.1493
"Rubella",10,0.1481,0.1499
"COVID-19",24,0.1491,0.1499
"Cholera",139,0.1493,0.1561
"JE",15,0.1493,0.151
"COVID-19",16,0.1499,0.1506
"Rubella",9,0.1499,0.1517
"COVID-19",55,0.1506,0.1514
"JE",15,0.151,0.1528
"COVID-19",17,0.1514,0.1522
"Rubella",12,0.1517,0.1534
"JE",10,0.1528,0.1546
"Rubella",13,0.1534,0.1552
"COVID-19",28,0.1546,0.1554
"JE",16,0.1546,0.1563
"Rubella",6,0.1552,0.1569
"COVID-19",54,0.1554,0.1562
"Cholera",106,0.1561,0.1629
"COVID-19",18,0.1562,0.157
"JE",19,0.1563,0.1581
"Rubella",8,0.1569,0.1587
"JE",14,0.1581,0.1599
"Typhoid",2,0.1585,0.1708
"Rubella",7,0.1587,0.1604
"JE",19,0.1599,0.1616
"Rubella",5,0.1604,0.1622
"COVID-19",20,0.1609,0.1617
"JE",14,0.1616,0.1634
"COVID-19",19,0.1617,0.1625
"Rubella",9,0.1622,0.1639
"Cholera",69,0.1629,0.1697
"COVID-19",14,0.1633,0.1641
"JE",15,0.1634,0.1652
"Rubella",13,0.1639,0.1657
"COVID-19",14,0.1641,0.1649
"COVID-19",19,0.1649,0.1657
"JE",18,0.1652,0.167
"COVID-19",24,0.1657,0.1665
"Rubella",11,0.1657,0.1674
"JE",15,0.167,0.1687
"COVID-19",35,0.1673,0.1681
"Rubella",8,0.1674,0.1692
"JE",11,0.1687,0.1705
"COVID-19",20,0.1689,0.1697
"Rubella",12,0.1692,0.171
"Cholera",76,0.1697,0.1765
"COVID-19",23,0.1704,0.1712
"JE",14,0.1705,0.1723
"Typhoid",3,0.1708,0.1831
"Rubella",6,0.171,0.1727
"COVID-19",17,0.1712,0.172
"JE",17,0.1723,0.174
"Rubella",7,0.1727,0.1745
"COVID-19",25,0.1728,0.1736
"COVID-19",23,0.1736,0.1744
