"disease","activity_type","Counts","lower_bound","upper_bound"
"JE","campaign",6,0.01223,0.01376
"JE","campaign",10,0.01376,0.01503
"JE","campaign",16,0.01503,0.01631
"JE","campaign",27,0.01631,0.01758
"JE","campaign",17,0.01758,0.01885
"JE","campaign",32,0.01885,0.02013
"JE","campaign",17,0.02013,0.0214
"JE","campaign",24,0.0214,0.02267
"JE","campaign",22,0.02267,0.02394
"JE","campaign",19,0.02394,0.02522
"JE","campaign",22,0.02522,0.02649
"JE","campaign",19,0.02649,0.02776
"JE","campaign",13,0.02776,0.02904
"COVID-19","routine",29,0.02891,0.02918
"JE","campaign",7,0.02904,0.03031
"JE","campaign",28,0.03031,0.03158
"COVID-19","routine",24,0.03139,0.03161
"JE","campaign",24,0.03158,0.03286
"COVID-19","routine",47,0.03228,0.0325
"COVID-19","routine",7,0.0325,0.03272
"JE","campaign",16,0.03286,0.03413
"COVID-19","routine",20,0.03294,0.03317
"COVID-19","routine",17,0.03361,0.03383
"JE","campaign",12,0.03413,0.0354
"COVID-19","routine",36,0.03472,0.03494
"COVID-19","routine",28,0.03494,0.03516
"COVID-19","routine",19,0.03516,0.03538
"COVID-19","routine",17,0.03538,0.0356
"JE","campaign",18,0.0354,0.03667
"COVID-19","routine",17,0.03627,0.03649
"JE","campaign",43,0.03667,0.03795
"COVID-19","routine",17,0.03715,0.03738
"COVID-19","routine",23,0.03738,0.0376
"JE","campaign",23,0.03795,0.03922
"COVID-19","routine",19,0.03804,0.03826
"COVID-19","routine",41,0.03915,0.03937
"JE","campaign",20,0.03922,0.04049
"COVID-19","routine",24,0.03937,0.03959
"COVID-19","routine",29,0.03959,0.03981
"COVID-19","routine",43,0.04026,0.04048
"COVID-19","routine",38,0.04048,0.0407
"JE","campaign",24,0.04049,0.04177
"COVID-19","routine",28,0.0407,0.04092
"COVID-19","routine",19,0.04114,0.04136
"COVID-19","routine",19,0.04136,0.04159
"COVID-19","routine",37,0.04159,0.04181
"JE","campaign",3,0.04177,0.04304
"COVID-19","routine",20,0.04225,0.04247
"COVID-19","routine",25,0.04247,0.04269
"COVID-19","routine",18,0.04292,0.04314
"JE","campaign",18,0.04304,0.04431
"COVID-19","routine",58,0.04424,0.04447
"JE","campaign",25,0.04431,0.04559
"COVID-19","routine",17,0.04447,0.04469
"COVID-19","routine",19,0.04469,0.04491
"JE","campaign",13,0.04559,0.04686
"COVID-19","routine",10,0.04602,0.04624
"COVID-19","routine",41,0.04646,0.04668
"JE","campaign",15,0.04686,0.04813
"COVID-19","routine",25,0.04779,0.04801
"JE","campaign",33,0.04813,0.04941
"COVID-19","routine",41,0.04823,0.04845
"COVID-19","routine",39,0.04912,0.04934
"JE","campaign",19,0.04941,0.05068
"COVID-19","routine",16,0.05067,0.05089
"JE","campaign",12,0.05068,0.05195
"JE","campaign",15,0.05195,0.05322
"JE","campaign",20,0.05322,0.0545
"JE","campaign",21,0.0545,0.05577
"COVID-19","routine",14,0.0551,0.05532
"COVID-19","routine",23,0.05554,0.05577
"JE","campaign",13,0.05577,0.05704
"JE","campaign",2,0.05704,0.05832
"JE","campaign",6,0.05832,0.05959
"JE","campaign",15,0.05959,0.06086
"COVID-19","routine",17,0.05998,0.0602
"JE","campaign",9,0.06214,0.06341
"JE","campaign",17,0.06341,0.06468
"JE","campaign",13,0.06468,0.06595
"JE","campaign",8,0.06595,0.06723
"JE","campaign",6,0.06723,0.0685
"JE","campaign",8,0.0685,0.06977
"Typhoid","campaign",2,0.0687,0.0821
"JE","campaign",5,0.06977,0.07105
"JE","campaign",12,0.07105,0.07232
"COVID-19","routine",19,0.07305,0.07332
"Typhoid","routine",2,0.0741,0.1163
"Rubella","campaign",4,0.07486,0.07802
"JE","campaign",12,0.07487,0.07614
"JE","campaign",20,0.07614,0.07741
"JE","campaign",8,0.07741,0.07868
"Rubella","campaign",3,0.07802,0.08066
"JE","campaign",6,0.07868,0.07996
"Cholera","campaign",84,0.07933,0.0844
"JE","campaign",8,0.07996,0.08123
"Rubella","campaign",5,0.08066,0.0833
"JE","campaign",4,0.08123,0.0825
"Typhoid","campaign",1,0.0821,0.09326
"JE","campaign",6,0.0825,0.08378
"Rubella","campaign",3,0.0833,0.08594
"JE","campaign",8,0.08378,0.08505
"Cholera","campaign",102,0.0844,0.08863
"JE","campaign",8,0.08505,0.08632
"Rubella","campaign",4,0.08594,0.08857
"YF","campaign",3,0.08594,0.09175
"JE","campaign",2,0.08632,0.0876
"Rubella","campaign",5,0.08857,0.09121
"Cholera","campaign",82,0.08863,0.09286
"JE","campaign",8,0.08887,0.09014
"JE","campaign",10,0.09014,0.09141
"Rubella","campaign",3,0.09121,0.09385
"JE","campaign",11,0.09141,0.09269
"YF","campaign",3,0.09175,0.09659
"JE","campaign",6,0.09269,0.09396
"Cholera","campaign",139,0.09286,0.09708
"Typhoid","campaign",2,0.09326,0.1044
"Rubella","campaign",4,0.09385,0.09649
"JE","campaign",17,0.09396,0.09523
"Rubella","campaign",8,0.09649,0.09913
"Cholera","campaign",106,0.09708,0.1013
"JE","routine",1,0.09858,0.101
"JE","campaign",4,0.09905,0.1003
"Rubella","campaign",11,0.09913,0.1018
"JE","routine",1,0.101,0.1029
"Cholera","campaign",69,0.1013,0.1055
"YF","campaign",4,0.1014,0.1063
"Rubella","campaign",11,0.1018,0.1044
"JE","campaign",5,0.1029,0.1041
"Rubella","campaign",15,0.1044,0.107
"JE","campaign",7,0.1054,0.1067
"Cholera","campaign",76,0.1055,0.1098
"YF","campaign",3,0.1063,0.1111
"JE","campaign",9,0.1067,0.108
"Rubella","campaign",18,0.107,0.1097
"JE","campaign",5,0.108,0.1092
"JE","routine",1,0.1089,0.1109
"JE","campaign",12,0.1092,0.1105
"Rubella","campaign",6,0.1097,0.1123
"Cholera","campaign",32,0.1098,0.114
"JE","campaign",6,0.1105,0.1118
"JE","routine",1,0.1109,0.1128
"YF","campaign",6,0.1111,0.1159
"Rubella","campaign",10,0.1123,0.115
"JE","routine",1,0.1128,0.1148
"Cholera","campaign",40,0.114,0.1182
"JE","campaign",4,0.1143,0.1156
"JE","routine",2,0.1148,0.1168
"Rubella","campaign",12,0.115,0.1176
"Typhoid","campaign",3,0.1156,0.1268
"YF","campaign",4,0.1159,0.1208
"JE","routine",4,0.1168,0.1188
"JE","campaign",6,0.1169,0.1181
"Rubella","campaign",6,0.1176,0.1202
"JE","campaign",9,0.1181,0.1194
"Cholera","campaign",39,0.1182,0.1224
"JE","campaign",2,0.1194,0.1207
"Rubella","campaign",10,0.1202,0.1229
"JE","routine",3,0.1208,0.1227
"Cholera","campaign",17,0.1224,0.1267
"JE","routine",3,0.1227,0.1247
"Rubella","campaign",11,0.1229,0.1255
"JE","campaign",1,0.1245,0.1258
"JE","routine",3,0.1247,0.1267
"Rubella","campaign",13,0.1255,0.1282
"YF","campaign",2,0.1256,0.1305
"Cholera","campaign",23,0.1267,0.1309
"JE","routine",4,0.1267,0.1287
"Typhoid","campaign",2,0.1268,0.1379
"Rubella","campaign",18,0.1282,0.1308
"JE","routine",5,0.1287,0.1307
"YF","campaign",2,0.1305,0.1353
"JE","routine",5,0.1307,0.1327
"Rubella","campaign",14,0.1308,0.1334
"Cholera","campaign",23,0.1309,0.1351
"JE","routine",5,0.1327,0.1346
"Rubella","campaign",5,0.1334,0.1361
"JE","routine",7,0.1346,0.1366
"Cholera","campaign",14,0.1351,0.1394
"YF","campaign",5,0.1353,0.1401
"Rubella","campaign",9,0.1361,0.1387
"JE","routine",4,0.1366,0.1386
"Typhoid","campaign",5,0.1379,0.1491
"JE","routine",8,0.1386,0.1406
"Rubella","campaign",12,0.1387,0.1413
"Cholera","campaign",7,0.1394,0.1436
"YF","campaign",4,0.1401,0.145
"JE","routine",3,0.1406,0.1426
"Rubella","campaign",11,0.1413,0.144
"JE","campaign",5,0.1423,0.1436
"JE","routine",11,0.1426,0.1445
"Cholera","campaign",9,0.1436,0.1478
"Rubella","campaign",10,0.144,0.1466
"JE","routine",6,0.1445,0.1465
"YF","campaign",6,0.145,0.1498
"JE","campaign",2,0.1462,0.1474
"JE","routine",7,0.1465,0.1485
"Rubella","campaign",10,0.1466,0.1493
"Cholera","campaign",17,0.1478,0.152
"JE","routine",11,0.1485,0.1505
"Typhoid","campaign",8,0.1491,0.1602
"Rubella","campaign",6,0.1493,0.1519
"YF","campaign",6,0.1498,0.1546
"JE","routine",14,0.1505,0.1525
"Typhoid","routine",3,0.1515,0.1867
"Rubella","campaign",11,0.1519,0.1545
"Cholera","campaign",4,0.152,0.1563
"JE","routine",9,0.1525,0.1544
"JE","routine",12,0.1544,0.1564
"Rubella","campaign",13,0.1545,0.1572
"YF","campaign",6,0.1546,0.1595
"Cholera","campaign",10,0.1563,0.1605
"JE","routine",5,0.1564,0.1584
"Rubella","campaign",16,0.1572,0.1598
"JE","routine",15,0.1584,0.1604
"MenA","routine",4,0.1584,0.161
"JE","campaign",5,0.1589,0.1602
"YF","campaign",5,0.1595,0.1643
"Rubella","campaign",12,0.1598,0.1625
"Typhoid","campaign",3,0.1602,0.1714
"JE","routine",13,0.1604,0.1624
"Cholera","campaign",5,0.1605,0.1647
"JE","routine",6,0.1624,0.1643
"Rubella","campaign",10,0.1625,0.1651
"MenA","routine",7,0.1631,0.1651
"JE","routine",19,0.1643,0.1663
"YF","campaign",3,0.1643,0.1692
"Cholera","campaign",7,0.1647,0.1689
"Rubella","campaign",17,0.1651,0.1677
"JE","routine",9,0.1663,0.1683
"COVID-19","campaign",28,0.167,0.1685
"Rubella","campaign",12,0.1677,0.1704
"JE","routine",7,0.1683,0.1703
"Cholera","campaign",12,0.1689,0.1732
"YF","campaign",4,0.1692,0.174
"MenA","routine",7,0.1693,0.1714
"JE","routine",14,0.1703,0.1723
"Rubella","campaign",12,0.1704,0.173
"Typhoid","campaign",5,0.1714,0.1826
"JE","routine",20,0.1723,0.1742
"Rubella","routine",1,0.1727,0.1754
"Rubella","campaign",16,0.173,0.1756
"Cholera","campaign",1,0.1732,0.1774
"YF","campaign",6,0.174,0.1788
"JE","routine",10,0.1742,0.1762
"COVID-19","campaign",19,0.1751,0.1765
"Rubella","campaign",22,0.1756,0.1783
"JE","routine",12,0.1762,0.1782
"Rubella","routine",1,0.1777,0.18
"JE","routine",12,0.1782,0.1802
"Rubella","campaign",14,0.1783,0.1809
"YF","campaign",9,0.1788,0.1837
"MenA","routine",10,0.1798,0.1819
"JE","routine",14,0.1802,0.1822
"Rubella","campaign",9,0.1809,0.1836
"Cholera","campaign",2,0.1816,0.1858
"JE","routine",10,0.1822,0.1841
"Typhoid","campaign",10,0.1826,0.1937
"Rubella","campaign",11,0.1836,0.1862
"YF","campaign",5,0.1837,0.1885
"MenA","routine",9,0.184,0.1861
"JE","routine",17,0.1841,0.1861
"JE","routine",11,0.1861,0.1881
