"disease","activity_type","Counts","lower_bound","upper_bound"
"JE","campaign",4,-1.905,-1.897
"JE","campaign",2,-1.897,-1.89
"JE","campaign",1,-1.857,-1.85
"JE","campaign",4,-1.85,-1.844
"JE","campaign",2,-1.844,-1.837
"JE","campaign",3,-1.837,-1.83
"JE","campaign",5,-1.804,-1.797
"JE","campaign",7,-1.797,-1.79
"JE","campaign",10,-1.79,-1.784
"JE","campaign",3,-1.784,-1.777
"JE","campaign",13,-1.777,-1.771
"JE","campaign",4,-1.771,-1.764
"JE","campaign",1,-1.764,-1.757
"JE","campaign",4,-1.757,-1.751
"JE","campaign",2,-1.751,-1.744
"JE","campaign",13,-1.731,-1.724
"JE","campaign",6,-1.724,-1.717
"JE","campaign",8,-1.717,-1.711
"JE","campaign",10,-1.711,-1.704
"JE","campaign",6,-1.704,-1.697
"JE","campaign",7,-1.697,-1.691
"JE","campaign",2,-1.691,-1.684
"JE","campaign",5,-1.684,-1.677
"JE","campaign",3,-1.677,-1.671
"JE","campaign",3,-1.664,-1.657
"JE","campaign",9,-1.657,-1.651
"JE","campaign",13,-1.651,-1.644
"JE","campaign",7,-1.644,-1.637
"JE","campaign",1,-1.637,-1.631
"JE","campaign",12,-1.631,-1.624
"JE","campaign",4,-1.624,-1.618
"JE","campaign",11,-1.618,-1.611
"JE","campaign",2,-1.611,-1.604
"JE","campaign",3,-1.604,-1.598
"JE","campaign",12,-1.598,-1.591
"JE","campaign",1,-1.591,-1.584
"JE","campaign",9,-1.584,-1.578
"JE","campaign",6,-1.578,-1.571
"JE","campaign",1,-1.571,-1.564
"JE","campaign",11,-1.564,-1.558
"JE","campaign",3,-1.558,-1.551
"JE","campaign",11,-1.544,-1.538
"COVID-19","routine",29,-1.539,-1.536
"JE","campaign",5,-1.538,-1.531
"JE","campaign",2,-1.531,-1.524
"JE","campaign",1,-1.524,-1.518
"JE","campaign",12,-1.518,-1.511
"JE","campaign",14,-1.511,-1.504
"JE","campaign",8,-1.504,-1.498
"COVID-19","routine",24,-1.502,-1.5
