"disease","Counts","lower_bound","upper_bound"
"JE",2,-1.116,-1.111
"JE",1,-1.074,-1.07
"JE",2,-1.062,-1.059
"JE",1,-1.055,-1.051
"JE",1,-1.051,-1.047
"JE",3,-1.047,-1.044
"JE",2,-1.04,-1.036
"JE",2,-1.036,-1.032
"JE",1,-1.032,-1.029
"JE",1,-1.029,-1.025
"JE",2,-1.025,-1.021
"JE",2,-1.021,-1.017
"JE",1,-1.017,-1.014
"JE",4,-1.014,-1.01
"JE",1,-1.01,-1.006
"JE",2,-1.006,-1.002
"JE",4,-1.002,-0.9987
"JE",2,-0.9987,-0.995
"Rubella",1,-0.9973,-0.9934
"JE",1,-0.995,-0.9913
"JE",1,-0.9913,-0.9875
"JE",3,-0.9875,-0.9838
"JE",3,-0.9838,-0.98
"JE",6,-0.98,-0.9763
"JE",3,-0.9763,-0.9725
"JE",2,-0.9725,-0.9688
"JE",8,-0.9688,-0.9651
"JE",2,-0.9651,-0.9613
"Rubella",1,-0.9641,-0.9608
"Typhoid",1,-0.9628,-0.9545
"JE",4,-0.9613,-0.9576
"JE",4,-0.9576,-0.9538
"Rubella",1,-0.9576,-0.9543
"JE",1,-0.9538,-0.9501
"Rubella",1,-0.951,-0.9478
"JE",8,-0.9501,-0.9463
"Rubella",1,-0.9478,-0.9445
"JE",4,-0.9463,-0.9426
"COVID-19",28,-0.9457,-0.9434
"Rubella",2,-0.9445,-0.9413
"JE",8,-0.9426,-0.9388
"Rubella",2,-0.9413,-0.938
"JE",5,-0.9388,-0.9351
"JE",5,-0.9351,-0.9314
"JE",10,-0.9314,-0.9276
"Rubella",1,-0.9282,-0.925
"JE",6,-0.9276,-0.9239
"Typhoid",1,-0.9271,-0.9203
"Rubella",4,-0.925,-0.9217
"JE",5,-0.9239,-0.9201
"Rubella",2,-0.9217,-0.9185
"JE",7,-0.9201,-0.9164
"Rubella",1,-0.9185,-0.9152
"JE",3,-0.9164,-0.9126
"Rubella",1,-0.9152,-0.912
"COVID-19",26,-0.913,-0.9111
"JE",8,-0.9126,-0.9089
"JE",8,-0.9089,-0.9052
"Rubella",4,-0.9087,-0.9054
"Rubella",1,-0.9054,-0.9022
"JE",6,-0.9052,-0.9014
"COVID-19",18,-0.9035,-0.9016
"Rubella",2,-0.9022,-0.8989
"JE",9,-0.9014,-0.8977
"Rubella",4,-0.8989,-0.8957
